Year,Player,Age,Hometown,Home State,Tm,FantPos,FantPt,Height (inches),Weight,College,DOB,Draft Round,Draft Year,Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2001,Ryan Leaf,25,Great Falls,MT,DAL,QB,17,77,245,Washington St.,5/15/1976,1,1998,0,0,0,0,0,0,0
2009,Keith Null,24,Travis County,TX,STL,QB,17,76,222,West Texas A&M,9/24/1985,6,0,0,0,0,0,0,0,0
2004,Frisman Jackson,25,Chicago,IL,CLE,WR,17,75,215,West. Illinois,6/12/1979,0,0,0,0,0,0,0,0,0
2013,Jed Collins,27,0,,NOR,RB,16,73,255,#REF!,1/0/1900,0,0,0,0,0,0,0,0,0
1999,Jerome Pathon,24,Capetown,South,IND,WR,16,73,195,Acadia (Canada),12/16/1975,2,0,0,0,0,0,0,0,0
2002,Kris Mangum,29,Magee,MS,CAR,TE,16,76,249,Alabama,8/15/1973,7,1997,0,0,0,0,0,0,0
2000,Rod Rutledge,25,Birmingham,AL,NWE,TE,16,77,262,Alabama,8/12/1975,0,1998,0,0,0,0,0,0,0
2001,Mike Lucky,26,Antioch,CA,DAL,TE,16,78,280,Arizona,11/23/1975,7,1999,0,4.95,29,29,108,4.38,7.42
2009,Derek Hagan,25,Northridge,CA,NYG,WR,16,73,205,Arizona St.,9/21/1984,3,2006,0,4.45,0,36,124,4.07,0
2001,Terrelle Smith,23,West Covina,CA,NOR,RB,16,73,246,Arizona St.,3/12/1978,4,2000,0,5,32.5,32.5,109,4.85,8.38
2013,Tarvaris Jackson,30,Mongtomery,AL,SEA,QB,16,74,226,Arkansas,4/21/1983,2,2006,19,4.69,0,31.5,107,4.4,7.41
2011,Dion Lewis,21,Albany,NY,PHI,RB,16,68,195,Blair Academy,9/27/1990,5,0,0,4.56,17,34.5,112,4.18,6.9
2005,Reno Mahe,25,Los Angeles,CA,PHI,RB,16,70,212,BYU,6/3/1980,0,0,0,4.68,0,32,109,4.23,7.27
2007,Aaron Rodgers,24,Chico,CA,GNB,QB,16,74,223,California,12/2/1983,1,2005,39,4.71,0,34.5,110,0,7.39
2008,Tory Humphrey,25,Saginaw,MI,GNB,TE,16,74,257,Central Michigan,1/20/1983,0,0,0,0,0,0,0,0,0
2006,Chris Brown,25,Winfield,IL,TEN,RB,16,75,219,Colorado,4/17/1981,3,2003,0,4.55,17,36,115,0,0
2007,Christian Fauria,36,Northridge,CA,CAR,TE,16,76,250,Colorado,9/22/1971,2,1995,0,0,0,0,0,0,0
1999,Eric Bieniemy,30,New Orleans,LA,PHI,RB,16,67,207,Colorado,8/15/1969,2,1991,0,0,0,0,0,0,0
2010,Terrance Copper,28,Washington,NC,KAN,WR,16,73,204,East Carolina,3/12/1982,0,0,0,4.53,0,35.5,116,4.33,7.36
2008,Vonta Leach,27,Lumberton,NC,HOU,RB,16,73,246,East Carolina,11/6/1981,0,0,0,0,0,0,0,0,0
2006,Kevin Walter,25,Lake Forest,IL,HOU,WR,16,75,221,East. Michigan,8/4/1981,7,2003,0,0,0,0,0,0,0
2010,Fred Taylor,34,Pahokee,FL,NWE,RB,16,73,234,Florida,1/27/1976,1,1998,0,0,0,0,0,0,0
2003,Danny Kanell,30,Fort Lauderdale,FL,DEN,QB,16,75,0,Florida St.,11/21/1973,4,1996,0,0,0,0,0,0,0
1999,Lonnie Johnson,28,Miami,FL,KAN,TE,16,75,240,Florida St.,2/14/1971,2,1994,0,0,0,0,0,0,0
2003,Lorenzo Neal,33,Hanford,CA,SDG,RB,16,71,255,Fresno St.,12/27/1970,4,1993,0,0,0,0,0,0,0
2004,Garrison Hearst,33,Lincolnton,GA,DEN,RB,16,71,215,Georgia,1/4/1971,1,1993,0,0,0,0,0,0,0
2006,Leonard Pope,23,Americus,GA,ARI,TE,16,80,264,Georgia,9/10/1983,3,2006,0,4.62,22,37.5,118,4.67,7.48
2004,Will Heller,23,Dunwoody,GA,TAM,TE,16,78,250,Georgia Tech,2/28/1981,0,0,0,0,0,0,0,0,0
2003,Marc Boerigter,25,Hastings,NE,KAN,WR,16,75,220,Hastings,5/4/1978,0,0,0,0,0,0,0,0,0
2002,James Fenderson,26,Long Beach,CA,NOR,RB,16,69,200,Hawaii,10/24/1976,0,0,0,0,0,0,0,0,0
2013,Michael Preston,24,Cleveland,OH,TEN,WR,16,77,206,#REF!,6/1/1989,0,0,0,0,0,0,0,0,0
2009,Greg Lewis,29,Chicago,IL,MIN,WR,16,73,180,Illinois,2/12/1980,0,0,0,0,0,0,0,0,0
2006,Corey Bradford,31,Baton Rouge,LA,DET,WR,16,73,201,Jackson St.,12/8/1975,5,1998,0,0,0,0,0,0,0
2006,Moran Norris,28,Houston,TX,SFO,RB,16,73,250,Kansas,6/16/1978,4,2001,0,4.63,37,31,114,4.5,7.56
1999,Darnell McDonald,23,Fairfax,VA,TAM,WR,16,75,190,Kansas St.,5/26/1976,7,1999,0,4.72,34,34,113,4.24,7.27
2003,Shad Meier,25,St. Louis,MO,TEN,TE,16,76,255,Kansas St.,6/7/1978,3,2001,0,4.85,34,34,113,4.15,7.14
2013,Alfonso Smith,26,San Bernardino,CA,ARI,RB,16,73,208,Kentucky,1/23/1987,0,0,0,0,0,0,0,0,0
2000,Andre Reed,36,Allentown,PA,WAS,WR,16,74,190,Kutztown Pennsylvania,1/29/1964,0,1985,0,0,0,0,0,0,0
1999,Eric Green,32,Savannah,GA,NYJ,TE,16,77,280,Liberty,6/22/1967,1,0,0,4.52,38,38,120,3.9,0
2001,Jerame Tuman,25,Liberal,KS,PIT,TE,16,76,255,Michigan,3/24/1976,5,1999,0,4.85,33,33,113,4.2,7.17
2006,Mark Campbell,31,Clawson,MI,NOR,TE,16,78,255,Michigan,12/6/1975,0,0,0,0,0,0,0,0,0
2011,Phillip Tanner,23,Dallas,TX,DAL,RB,16,73,213,Middle Tenn. St.,8/8/1988,0,0,0,0,0,0,0,0,0
2002,Reggie Kelly,25,Aberdeen,MS,ATL,TE,16,76,255,Mississippi St.,2/22/1977,2,1999,0,4.86,32,32,0,0,0
2006,Brad Smith,23,Youngstown,OH,NYJ,QB,16,74,0,Missouri,12/12/1983,4,2006,24,4.46,0,39.5,128,4.33,7.01
2004,Justin Gage,23,Indianapolis,IN,CHI,WR,16,76,208,Missouri,1/24/1981,5,2003,0,0,0,0,0,0,0
2005,Randal Williams,27,Bronx,NY,OAK,WR,16,75,220,New Hampshire,5/21/1978,0,0,0,0,0,0,0,0,0
2003,Darnell Sanders,24,Cleveland,OH,CLE,TE,16,78,270,Ohio St.,3/16/1979,4,2002,0,0,0,0,0,0,0
2013,DeVier Posey,24,Redwood City,CA,HOU,WR,16,73,211,#REF!,2/8/1989,3,2012,0,4.39,14,36.5,123,4.15,7.03
2005,Drew Carter,24,Solon,OH,CAR,WR,16,75,200,Ohio St.,9/5/1981,5,2004,0,0,0,0,0,0,0
2003,Marcellus Rivers,25,Oklahoma City,OK,NYG,TE,16,76,250,Oklahoma St.,10/26/1978,0,0,0,4.84,32.5,32.5,113,4.25,7.04
2010,Justin Peelle,31,Fresno,CA,ATL,WR,16,76,255,Oregon,3/15/1979,4,2002,0,4.75,21,29,110,4.29,7.34
1999,Ronnie Harris,29,Granada Hills,CA,ATL,WR,16,71,179,Oregon,6/4/1970,0,0,0,0,0,0,0,0,0
2006,John Gilmore,27,Marquette,MI,CHI,TE,16,76,260,Penn St.,9/21/1979,6,2002,0,0,0,0,0,0,0
2006,Kerry Collins,34,Lebanon,PA,TEN,QB,16,77,0,Penn St.,12/30/1972,1,1995,0,0,0,0,0,0,0
2004,Kyle Brady,32,New Cumberland,PA,JAX,TE,16,78,278,Penn St.,1/14/1972,1,1995,0,0,0,0,0,0,0
2005,Daimon Shelton,33,Duarte,CA,BUF,RB,16,73,262,Sacramento St.,9/15/1972,6,1997,0,0,0,0,0,0,0
2005,Edell Shepherd,25,Los Angeles,CA,TAM,WR,16,73,175,San Jose St.,5/18/1980,0,0,0,0,0,0,0,0,0
2013,John Kuhn,31,York,PA,GNB,RB,16,73,255,#REF!,9/9/1982,0,0,0,0,0,0,0,0,0
2009,Evan Moore,24,Brea,CA,CLE,TE,16,79,232,Stanford,1/3/1985,0,0,0,4.74,16,27,110,4.43,7.08
2012,Jeremy Stewart,23,Baton Rouge,LA,OAK,RB,16,73,230,Stanford,8/17/1900,0,0,0,0,0,0,0,0,0
1999,Steve Stenstrom,28,Hunt County,TX,SFO,QB,16,74,206,Stanford,12/23/1971,4,1995,0,0,0,0,0,0,0
2005,Kelley Washington,26,Stephens City,VA,CIN,WR,16,75,218,Tennessee,8/21/1979,3,2003,0,0,0,0,0,0,0
2006,Shawn Bryson,30,Franklin,NC,DET,RB,16,73,228,Tennessee,11/30/1976,3,1999,0,4.63,18,38.5,128,0,0
2006,Ahmard Hall,27,Galveston,TX,TEN,RB,16,71,235,Texas,11/13/1979,0,0,0,0,0,0,0,0,0
2009,Martellus Bennett,22,San Diego County,TX,DAL,TE,16,79,248,Texas A&M,3/10/1987,2,2008,0,4.68,18,34,118,4.53,7.64
2000,JaJuan Dawson,23,Houston,TX,CLE,WR,16,73,197,Tulane,11/5/1977,0,2000,0,4.55,34,34,117,4.16,6.96
2007,Mewelde Moore,25,Hammond,LA,MIN,RB,16,12,210,Tulane,7/24/1982,4,2004,0,4.65,0,35,118,4.14,7.07
2007,Bryan Fletcher,28,St. Louis,MO,IND,TE,16,77,238,UCLA,3/23/1979,6,2002,0,0,0,0,0,0,0
2013,Damian Williams,25,Springdale,AR,TEN,WR,16,73,190,USC,5/26/1988,3,2010,0,4.52,19,38,118,4.24,6.79
1999,John Allred,25,Del Mar,CA,CHI,TE,16,76,249,USC,9/9/1974,2,1997,0,0,0,0,0,0,0
2006,Mike Williams,22,Tampa,FL,DET,WR,16,77,229,USC,1/4/1984,1,2005,0,4.53,8,33.5,116,4.31,6.9
2011,Patrick Turner,24,Nashville,TN,NYJ,WR,16,77,221,USC,5/19/1987,3,2009,0,0,0,0,0,0,0
2007,John Madsen,24,West Valley City,UT,OAK,WR,16,77,220,Utah,5/9/1983,0,0,0,0,0,0,0,0,0
2000,Kevin Dyson,25,Logan,UT,TEN,WR,16,73,208,Utah,6/23/1975,1,1998,0,0,0,0,0,0,0
2007,Todd Yoder,29,New Palestine,IN,WAS,TE,16,76,250,Vanderbilt,3/18/1978,0,0,0,0,0,0,0,0,0
2004,Todd Yoder,26,New Palestine,IN,JAX,TE,16,76,250,Vanderbilt,3/18/1978,0,0,0,0,0,0,0,0,0
2011,John Phillips,24,Lowmoor,VA,DAL,TE,16,77,250,Virginia,6/11/1987,6,2009,0,4.78,20,33.5,112,4.27,6.84
2004,Ernie Conwell,32,Renton,WA,NOR,TE,16,74,255,Washington,8/17/1972,2,1996,0,0,0,0,0,0,0
2007,Jerome Harrison,24,Kalamazoo,MI,CLE,RB,16,69,195,Washington St.,2/26/1983,5,2006,0,4.47,19,34.5,124,4.08,6.79
2004,Anthony Becht,27,Drexel Hill,PA,NYJ,TE,16,77,272,West Virginia,8/8/1977,1,2000,0,4.78,0,33.5,123,4.08,6.94
2008,Aaron Stecker,33,Green Bay,WI,NOR,RB,16,70,213,Wisconsin,11/13/1975,0,0,0,4.84,23,32.5,113,4.17,7
2002,Patrick Hape,28,Killen,AL,DEN,TE,15,76,262,Alabama,6/6/1974,5,1997,0,0,0,0,0,0,0
2003,Bobby Wade,22,Orange County,CA,CHI,WR,15,70,193,Arizona,2/26/1981,5,2003,0,4.66,34.5,34.5,115,4.11,7.01
2007,Brandon Manumaleuna,27,Torrance,CA,SDG,TE,15,74,288,Arizona,1/4/1980,4,2001,0,4.99,0,30,106,4.26,7.49
2008,Mike Karney,27,San Jose,CA,NOR,RB,15,71,254,Arizona St.,7/6/1981,5,2004,0,5.02,25,30,103,0,0
2011,David Johnson,24,Pine Bluff,AR,PIT,RB,15,74,270,Arkansas St.,8/26/1987,7,2009,0,4.73,21,32.5,113,4.43,7.28
2010,Devin Aromashodu,26,Miami Springs,FL,CHI,WR,15,74,202,Auburn,5/23/1984,7,2006,0,4.35,0,39,120,4.17,7.05
2005,Tony Richardson,34,Frankfurt,Germany,KAN,RB,15,73,238,Auburn,12/17/1971,0,0,0,0,0,0,0,0,0
2012,Dion Lewis,22,Albany,NY,PHI,RB,15,68,195,Blair Academy,7/13/1900,5,0,0,4.56,17,34.5,112,4.18,6.9
1999,Mike Cloud,24,Charleston,SC,KAN,RB,15,70,205,Boston Col.,7/1/1975,2,1999,0,4.56,38.5,38.5,117,4.16,6.8
2009,Daniel Coats,25,Layton,UT,CIN,TE,15,75,257,BYU,4/16/1984,0,0,0,4.94,34,30,111,4.43,7.07
2013,Jeremy Ross,25,Sacramento,CA,2TM,WR,15,71,213,California,3/16/1988,0,0,0,0,0,0,0,0,0
2007,Casey Fitzsimmons,27,Wolf Point,MT,DET,RB,15,76,258,Carroll (MT),10/10/1980,0,0,0,0,0,0,0,0,0
2011,Bruce Miller,24,Canton,GA,SFO,RB,15,73,254,Central Florida,8/6/1987,7,2011,0,4.81,35,31,113,4.34,7.05
2005,Charles Lee,28,Miami,FL,ARI,WR,15,75,227,Central Florida,11/19/1977,7,2000,0,4.56,0,35.5,125,4.25,7.3
2006,Michael Gaines,26,Tallahassee,FL,CAR,TE,15,75,280,Central Florida,3/30/1980,7,2004,0,5.06,18,33,109,4.2,7.46
2005,Todd Devoe,25,Fort Lauderdale,FL,DEN,WR,15,74,198,Central Missouri St.,4/5/1980,0,0,0,0,0,0,0,0,0
2009,Danny Woodhead,24,North Platte,NE,NYJ,WR,15,69,200,Chadron St.,1/25/1985,0,0,0,0,0,0,0,0,0
2011,Charlie Whitehurst,29,Green Bay,WI,SEA,QB,15,76,220,Clemson,8/6/1982,3,2006,33,4.75,0,33,112,4.12,7
2010,Daniel Graham,32,Torrance,CA,DEN,TE,15,75,257,Colorado,11/16/1978,1,2002,0,4.64,0,36,118,0,0
1999,Koy Detmer,26,San Antonio,TX,PHI,QB,15,73,195,Colorado,7/5/1973,7,1997,0,0,0,0,0,0,0
2004,Leonard Henry,26,Clinton,NC,MIA,RB,15,73,210,East Carolina,1/5/1978,7,2002,0,4.57,26,35,113,4.29,7.11
2012,Charlie Batch,38,Homestead,PA,PIT,QB,15,74,0,East. Michigan,1/0/1900,2,1998,0,0,0,0,0,0,0
2000,Robert Wilson,26,Tallahassee,FL,NOR,WR,15,71,176,Florida A&M,6/23/1974,0,0,0,0,0,0,0,0,0
2008,Brad Johnson,40,Marietta,GA,DAL,QB,15,77,0,Florida St.,9/13/1968,9,1992,0,0,0,0,0,0,0
2012,Leon Washington,30,Jacksonville,FL,SEA,RB,15,68,210,Florida St.,7/28/1900,4,2006,0,4.42,17,32.5,105,4.37,6.96
2007,Travis Minor,28,New Orleans,LA,STL,RB,15,12,205,Florida St.,6/30/1979,3,2001,0,4.44,9,32,0,0,0
2000,Lorenzo Neal,30,Hanford,CA,TEN,RB,15,71,255,Fresno St.,12/27/1970,0,1993,0,0,0,0,0,0,0
2012,Danny Ware,27,Rockmart,GA,TAM,RB,15,73,225,Georgia,8/12/1900,0,0,0,0,0,0,0,0,0
2009,Danny Ware,24,Rockmart,GA,NYG,RB,15,73,225,Georgia,2/18/1985,0,0,0,0,0,0,0,0,0
2003,Musa Smith,21,Elliottsburg,PA,BAL,RB,15,73,232,Georgia,5/31/1982,3,2003,0,4.45,35.5,35.5,123,0,0
2009,Reggie Brown,28,Carrollton,GA,PHI,WR,15,73,197,Georgia,1/13/1981,2,2005,0,4.45,0,41.5,128,4,6.99
2008,Adrian Peterson,29,Gainesville,FL,CHI,RB,15,70,210,Georgia Southern,7/1/1979,6,2002,#REF!,#REF!,#REF!,#REF!,#REF!,0,0
2000,Dez White,21,Orange Park,PA,CHI,WR,15,73,215,Georgia Tech,8/23/1979,0,2000,0,4.62,37.5,37.5,124,4.09,6.91
2005,Wayne Chrebet,32,Garfield,NJ,NYJ,WR,15,70,188,Hofstra,8/14/1973,0,0,0,0,0,0,0,0,0
2006,Jeremi Johnson,26,Louisville,KY,CIN,RB,15,71,265,Indiana,9/4/1980,4,2003,0,4.9,20,29,103,0,0
2011,Brandon Myers,26,Prairie City,IA,OAK,TE,15,76,250,Iowa,9/4/1985,6,2009,0,0,0,0,0,0,0
2008,Derek Fine,25,Sallisaw,OK,BUF,TE,15,74,250,Kansas,8/24/1983,4,2008,0,4.83,24,29,115,4.19,6.8
2010,Dezmon Briscoe,21,Dallas,TX,TAM,WR,15,75,200,Kansas,8/31/1989,6,2010,0,4.66,9,33,115,4.57,7.1
2002,James Whalen,25,Portland,OR,DAL,TE,15,74,244,Kentucky,12/11/1977,5,2000,0,4.78,31,31,110,4.22,7.42
2006,Brandon Stokley,30,Blacksburg,VA,IND,WR,15,71,197,La-Lafayette,6/23/1976,4,1999,0,4.49,0,35.5,118,4.01,7.04
2012,Deion Branch,33,Albany,GA,NWE,WR,15,69,193,Louisville,7/11/1900,2,2002,0,4.47,0,36,117,3.76,6.71
1999,Brett Bech,28,Slidell,LA,NOR,WR,15,73,184,LSU,8/20/1971,0,0,0,0,0,0,0,0,0
2004,Josh Reed,24,Rayne,LA,BUF,WR,15,70,208,LSU,5/1/1980,2,2002,0,0,0,0,0,0,0
2002,Larry Foster,26,Harvey,LA,DET,WR,15,70,195,LSU,11/7/1976,0,0,0,4.55,37,37,121,4.06,6.88
2003,Neil O'Donnell,37,Madison,NJ,TEN,QB,15,75,0,Maryland,7/3/1966,3,1990,0,0,0,0,0,0,0
2012,Shaun Hill,32,Parsons,KS,DET,QB,15,77,0,Maryland,1/0/1900,0,0,0,0,0,0,0,0,0
2001,Andre King,28,Kingston,Jamaica,CLE,WR,15,71,195,Miami (FL),11/26/1973,7,2001,0,4.61,35.5,35.5,0,0,0
2012,Rishard Matthews,23,San Diego,CA,MIA,WR,15,73,212,Miami Dolphins,7/30/1900,7,0,0,4.54,20,36,0,4.19,6.88
2001,Spergon Wynn,23,Houston,TX,MIN,QB,15,75,226,Minnesota,8/10/1978,6,2000,25,4.91,34,34,108,4.59,7.71
2006,Thomas Tapeh,26,Monrovie,Liberia,PHI,RB,15,73,243,Minnesota,3/28/1980,5,2004,0,4.8,23,32.5,114,4.62,7.66
2006,Donald Lee,26,Maben,MS,GNB,TE,15,75,255,Mississippi St.,8/31/1980,5,2003,0,4.82,26,39,120,4.42,7.42
2008,Justin Griffith,28,Magee,MS,OAK,RB,15,71,232,Mississippi St.,7/21/1980,4,2003,0,4.59,29,32,113,4.68,7.73
2005,Reggie Kelly,28,Aberdeen,MS,CIN,TE,15,76,255,Mississippi St.,2/22/1977,2,1999,0,4.86,24,32,0,0,0
1999,Reggie Kelly,22,Aberdeen,MS,ATL,TE,15,76,255,Mississippi St.,2/22/1977,2,1999,0,4.86,32,32,0,0,0
2011,Lex Hilliard,27,Kalispell,MT,MIA,RB,15,12,233,Montana,7/30/1984,6,0,0,4.68,0,32,122,4.2,7.01
2004,Dan Kreider,27,Lancaster,PA,PIT,RB,15,71,255,New Hampshire,3/11/1977,0,0,0,0,0,0,0,0,0
2004,Sam Aiken,24,Kenansville,NC,BUF,WR,15,74,204,North Carolina,12/14/1980,4,2003,0,4.59,0,39.5,121,0,7.22
2010,Jim Kleinsasser,33,Carrington,ND,MIN,RB,15,75,272,North Dakota,1/31/1977,2,0,0,4.79,18,34.5,114,4.33,7.24
2005,Ryan Hannam,25,St. Ansgar,IA,SEA,TE,15,74,248,Northern Iowa,2/24/1980,5,2002,0,4.69,18,30.5,113,4.21,7.07
2002,David Givens,22,Youngstown,OH,NWE,WR,15,73,212,Notre Dame,8/16/1980,7,2002,0,4.56,40.5,40.5,126,4.13,6.82
2007,Maurice Stovall,22,Philadelphia,PA,TAM,WR,15,76,215,Notre Dame,2/21/1985,3,2006,0,4.57,0,35,122,4.16,6.81
2003,Steve Beuerlein,38,Los Angeles,CA,DEN,QB,15,75,0,Notre Dame,3/7/1965,4,1987,0,0,0,0,0,0,0
2007,Antonio Pittman,22,Akron,OH,STL,RB,15,12,207,Ohio St.,12/19/1985,4,2007,0,4.4,16,35.5,123,4.16,6.84
2012,LaMichael James,23,New Boston,TX,SFO,RB,15,68,190,Oregon,7/8/1900,2,2012,0,4.35,15,35,123,4.12,6.88
2001,Reuben Droughns,23,Chicago,IL,DET,RB,15,71,207,Oregon,8/21/1978,3,2000,0,4.66,30,30,115,4.41,7.34
2011,Bryant Johnson,30,Baltimore,MD,HOU,WR,15,74,214,Penn St.,3/7/1981,1,2003,0,0,0,0,0,0,0
2003,Larry Johnson,24,State College,PA,KAN,RB,15,73,228,Penn St.,11/19/1979,1,0,0,4.55,0,0,0,0,0
2004,Darnell Dinkins,27,Pittsburgh,PA,BAL,TE,15,75,255,Pittsburgh,1/20/1977,0,0,0,0,0,0,0,0,0
2001,Drew Brees,22,Austin,TX,SDG,QB,15,73,209,Purdue,1/15/1979,2,2001,28,4.83,32,32,105,4.21,7.09
1999,Marco Battaglia,26,Queens,NY,CIN,TE,15,75,250,Rutgers,1/25/1973,2,1996,0,0,0,0,0,0,0
2006,Az-Zahir Hakim,29,Los Angeles,CA,DET,WR,15,70,189,San Diego St.,6/3/1977,4,1998,0,0,0,0,0,0,0
2001,Ed McCaffrey,33,Waynesboro,PA,DEN,WR,15,77,215,Stanford,8/17/1968,3,1991,0,0,0,0,0,0,0
2004,Rob Konrad,28,Rochester,NY,MIA,RB,15,75,255,Syracuse,11/12/1976,2,1999,0,4.62,21,36,113,0,0
1999,Eric Metcalf,31,Seattle,WA,CAR,WR,15,70,188,Texas,1/23/1968,1,1989,0,0,0,0,0,0,0
2011,Jamaal Charles,25,Port Arthur,TX,KAN,RB,15,73,200,Texas,12/27/1986,3,2008,0,4.38,0,30.5,122,4.22,6.8
2001,Rodney Thomas,28,Trinity,TX,ATL,RB,15,70,210,Texas A&M,3/30/1973,3,1995,0,0,0,0,0,0,0
2010,Sammy Morris,33,San Antonio,TX,NWE,RB,15,73,220,Texas Tech,3/23/1977,5,2000,0,4.65,23,37.5,117,4.21,7.05
2005,Jerheme Urban,25,Victoria,TX,SEA,WR,15,75,212,Trinity (TX),11/26/1980,0,0,0,0,0,0,0,0,0
2003,Jonathan Carter,24,Anniston,AL,NYJ,WR,15,73,180,Troy,3/20/1979,5,0,0,4.35,42.5,42.5,134,4.25,7.28
2002,Jerald Sowell,28,Baton Rouge,LA,NYJ,RB,15,73,237,Tulane,1/21/1974,7,1997,0,0,0,0,0,0,0
2004,Tommy Maddox,33,Shreveport,LA,PIT,QB,15,76,220,UCLA,9/2/1971,1,1992,0,0,0,0,0,0,0
2001,Tommy Maddox,30,Shreveport,LA,PIT,QB,15,76,220,UCLA,9/2/1971,1,1992,0,0,0,0,0,0,0
2011,Anthony McCoy,24,Fresno,CA,SEA,TE,15,77,244,USC,12/12/1987,6,2010,0,4.71,19,35.5,113,4.57,6.99
2006,Billy Miller,29,Los Angeles,CA,NOR,TE,15,75,245,USC,4/24/1977,7,1999,0,4.63,0,34.5,114,4.28,7.06
2005,Matt Cassel,23,Northridge,CA,NWE,QB,15,77,0,USC,5/17/1982,7,2005,0,0,0,0,0,0,0
2004,Chris Fuamatu-Ma'afala,27,Honolulu,HI,JAX,RB,15,73,252,Utah,3/4/1977,6,1998,0,0,0,0,0,0,0
2008,Jason Snelling,25,Toms River,NJ,ATL,RB,15,71,235,Virginia,12/29/1983,7,2007,0,4.79,0,30,111,4.38,7.06
2011,Ovie Mughelli,31,Charleston,SC,ATL,RB,15,73,260,Wake Forest,6/10/1980,4,2003,0,4.73,0,31.5,114,4.32,7.78
2001,Jeremy Brigham,26,Boston,MA,OAK,TE,15,78,255,Washington,3/22/1975,5,1998,0,0,0,0,0,0,0
2003,Brad Hoover,27,High Point,NC,CAR,RB,15,73,242,West. Carolina,11/11/1976,0,0,0,0,0,0,0,0,0
2004,Jim Sorgi,24,Fraser,MI,IND,QB,15,77,196,Wisconsin,12/3/1980,6,2004,0,0,0,0,0,0,0
2011,Travis Beckum,24,Orange County,CA,NYG,TE,15,75,240,Wisconsin,1/24/1987,3,2009,0,4.62,28,0,0,0,0
2013,Malcom Floyd,32,Sacramento,CA,SDG,WR,15,77,201,Wyoming,9/8/1981,0,0,0,0,0,0,0,0,0
2013,Brittan Golden,25,0,,ARI,WR,14,71,186,#REF!,1/0/1900,0,0,0,0,0,0,0,0,0
2012,Jordan Norwood,26,Honolulu,HI,CLE,WR,14,71,171,0,6/19/1900,0,0,0,0,0,0,0,0,0
2008,Daniel Wilcox,31,Atlanta,GA,BAL,TE,14,73,245,Appalachian St.,3/23/1977,0,0,0,0,0,0,0,0,0
2003,Derick Armstrong,24,Jasper,TX,HOU,WR,14,74,206,Ark-Monticello,4/2/1979,0,0,0,0,0,0,0,0,0
2000,Fred Baxter,29,Brundidge,AL,NYJ,TE,14,75,268,Auburn,6/14/1971,0,1993,0,0,0,0,0,0,0
2003,Tony Richardson,32,Frankfurt,Germany,KAN,RB,14,73,238,Auburn,12/17/1971,0,0,0,0,0,0,0,0,0
2010,Naaman Roosevelt,23,Buffalo,NY,BUF,WR,14,73,189,Buffalo,12/24/1987,0,0,0,0,0,0,0,0,0
1999,Dameane Douglas,23,Hanford,CA,PHI,WR,14,73,195,California,3/15/1976,4,1999,0,4.64,31.5,31.5,119,4.36,7.36
2011,Jamie Harper,22,Jacksonville,FL,TEN,RB,14,12,235,Clemson,9/11/1989,4,2011,0,4.53,24,36.5,120,4.39,7.16
2002,Scottie Montgomery,24,Shelby,NC,DEN,WR,14,73,195,Duke,5/26/1978,0,0,0,4.57,36,36,117,4.11,7.16
2004,Terrance Copper,22,Washington,NC,DAL,WR,14,73,204,East Carolina,3/12/1982,0,0,0,4.53,0,35.5,116,4.33,7.36
1999,Jeff Ogden,24,Snohomish,WA,DAL,WR,14,73,190,East. Washington,2/22/1975,0,0,0,0,0,0,0,0,0
2007,Reche Caldwell,28,Tampa,FL,WAS,WR,14,73,215,Florida,3/28/1979,2,2002,0,4.53,0,41.5,130,4.1,7
1999,Edgar Bennett,30,Jacksonville,FL,CHI,RB,14,73,217,Florida St.,2/15/1969,4,1992,0,0,0,0,0,0,0
2004,Peter Warrick,27,Bradenton,FL,CIN,WR,14,71,192,Florida St.,6/19/1977,1,2000,0,0,0,0,0,0,0
2011,Bear Pascoe,25,Kern County,CA,NYG,TE,14,77,257,Fresno St.,2/23/1986,6,2009,0,4.96,0,26.5,107,4.55,7.65
1999,Charlie Jones,27,Hanford,CA,SDG,WR,14,68,175,Fresno St.,12/1/1972,4,1996,0,0,0,0,0,0,0
2008,David Carr,29,Bakersfield,CA,NYG,QB,14,75,0,Fresno St.,7/21/1979,1,2002,24,4.67,0,35,108,4.28,7.05
2005,Derrick Ward,25,Los Angeles,CA,NYG,RB,14,71,233,Fresno St.,8/30/1980,7,2004,0,0,0,0,0,0,0
2010,Danny Ware,25,Rockmart,GA,NYG,RB,14,73,225,Georgia,2/18/1985,0,0,0,0,0,0,0,0,0
2008,Randy McMichael,29,Griffin,GA,STL,TE,14,75,250,Georgia,6/28/1979,4,2002,0,4.88,18,29.5,112,4.28,7.56
2009,Mike Cox,24,Lewisberry,PA,KAN,RB,14,73,259,Georgia Tech,7/11/1985,0,0,0,0,0,0,0,0,0
2001,R.J. Bowers,27,Honolulu,HI,PIT,RB,14,73,250,Grove City,2/10/1974,0,0,0,0,0,0,0,0,0
2005,Marc Boerigter,27,Hastings,NE,KAN,WR,14,75,220,Hastings,5/4/1978,0,0,0,0,0,0,0,0,0
2013,Greg Salas,25,Chino,CA,2TM,WR,14,73,206,Hawaii,8/25/1988,4,2011,0,4.53,15,37,120,4.1,6.65
